id:ID,label,:LABEL,properties.category,properties.chapters,properties.description,properties.mention_count,properties.name_normalized,properties.red_flag,properties.sections,properties.severity,properties.synonyms,properties.treatment_type,properties.urgency_level,properties.urgency_source
disease_119,Atypical Mycobacteria,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,atypical mycobacteria,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_120,Sterile Corneal Thinning And Ulcers,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,sterile corneal thinning and ulcers,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_121,Staphylococcal Hypersensitivity,Entity,,[4],Disease entity extracted from differential diagnosis lists,2,staphylococcal hypersensitivity,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_122,Sterile Corneal Infiltrates,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,sterile corneal infiltrates,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_123,Residual Corneal Foreign Body Or Rust Ring,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,residual corneal foreign body or rust ring,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_124,Staphylococcal Ulcers Typically Have A Well-Defined,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,staphylococcal ulcers typically have a well-defined,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_125,Pseudomonas Typically Presents As A Rapidly Progressive,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,pseudomonas typically presents as a rapidly progressive,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_126,Moraxella May Cause Infectious Keratitis In Patients With Preexisting Ocular Surface Disease And In Patients Who Are Immunocompromised,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,moraxella may cause infectious keratitis in patients with preexisting ocular surface disease and in patients who are immunocompromised,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_127,"Filamentous Fungi (E.G., Fusarium Or Aspergillus Species Most Commonly)",Entity,,[4],Disease entity extracted from differential diagnosis lists,1,"filamentous fungi (e.g., fusarium or aspergillus species most commonly)",False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_128,"Nonfilamentous Fungi (E.G., Candida Species)",Entity,,[4],Disease entity extracted from differential diagnosis lists,1,"nonfilamentous fungi (e.g., candida species)",False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_129,Infectious Crystalline Keratopathy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,infectious crystalline keratopathy,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_130,Schnyder Corneal Dystrophy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,schnyder corneal dystrophy,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_131,Bietti Crystalline Corneoretinal Dystrophy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,bietti crystalline corneoretinal dystrophy,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_132,Cystinosis,Entity,,"[4, 8]",Disease entity extracted from differential diagnosis lists,5,cystinosis,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_133,Lymphoproliferative Disorders (E.G.,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,lymphoproliferative disorders (e.g.,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_134,Vzv,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,vzv,False,"[""Differential Diagnosis of Corneal Dendrites""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_135,Recurrent Corneal Erosion Or Any Recent Corneal Abrasion,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,recurrent corneal erosion or any recent corneal abrasion,False,"[""Differential Diagnosis of Corneal Dendrites""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_136,Acanthamoeba Keratitis Pseudodendrites,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,acanthamoeba keratitis pseudodendrites,False,"[""Differential Diagnosis of Corneal Dendrites""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_137,Infectious Corneal Infiltrates,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,infectious corneal infiltrates,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_138,Inflamed Pinguecula,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,inflamed pinguecula,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_139,Infectious Corneal Ulcer,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,infectious corneal ulcer,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_140,Ocular Rosacea,Entity,,[4],Disease entity extracted from differential diagnosis lists,2,ocular rosacea,False,"[""Differential Diagnosis"", ""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_141,Herpes Simplex Keratitis,Entity,,"[4, 5]",Disease entity extracted from differential diagnosis lists,2,herpes simplex keratitis,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_142,Staphylococcus,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,staphylococcus,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_143,"Infectious Corneal Infiltrate/Ulcer (Bacterial, Fungal, Acanthamoeba)",Entity,,[4],Disease entity extracted from differential diagnosis lists,1,"infectious corneal infiltrate/ulcer (bacterial, fungal, acanthamoeba)",False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_144,Giant Papillary Conjunctivitis,Entity,,"[4, 6]",Disease entity extracted from differential diagnosis lists,2,giant papillary conjunctivitis,False,"[""Differential Diagnosis"", ""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_145,Hypersensitivity/Toxicity Reactions To Preservatives In Solutions,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,hypersensitivity/toxicity reactions to preservatives in solutions,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_146,Contact Lens Deposits,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,contact lens deposits,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_147,Tight Lens Syndrome,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,tight lens syndrome,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_148,Contact Lens–Associated Red Eye (Clare),Entity,,[4],Disease entity extracted from differential diagnosis lists,1,contact lens–associated red eye (clare),False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_149,Corneal Warpage,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,corneal warpage,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_150,Corneal Neovascularization,Entity,,"[4, 13]",Disease entity extracted from differential diagnosis lists,8,corneal neovascularization,False,"[""Etiology""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_151,Limbal Stem Cell Deficiency,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,limbal stem cell deficiency,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_152,Contact Lens Keratopathy (Pseudo-Slk),Entity,,[4],Disease entity extracted from differential diagnosis lists,1,contact lens keratopathy (pseudo-slk),False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_153,Displaced Contact Lens,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,displaced contact lens,False,"[""Etiology""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_154,Vernal Keratoconjunctivitis,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,vernal keratoconjunctivitis,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_155,Atopic Keratoconjunctivitis,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,atopic keratoconjunctivitis,False,"[""Differential Diagnosis""]",emergent,,,emergent,Extracted from Wills Eye Manual based on emergent criteria
disease_156,"Peripheral Ulcerative Keratitis (Puk), Idiopathic Or Related To Systemic Connective Tissue Disease",Entity,,[4],Disease entity extracted from differential diagnosis lists,1,"peripheral ulcerative keratitis (puk), idiopathic or related to systemic connective tissue disease",False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_157,Terrien Marginal Degeneration,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,terrien marginal degeneration,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_158,Mooren Ulcer,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,mooren ulcer,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_159,Pellucid Marginal Degeneration,Entity,,[4],Disease entity extracted from differential diagnosis lists,2,pellucid marginal degeneration,False,"[""Differential Diagnosis"", ""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_160,Furrow Degeneration,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,furrow degeneration,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_161,Delle,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,delle,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_162,Staphylococcal Hypersensitivity/Marginal Keratitis,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,staphylococcal hypersensitivity/marginal keratitis,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_163,Exposure/Neurotrophic Keratopathy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,exposure/neurotrophic keratopathy,False,"[""Etiology""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_164,Keratoglobus,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,keratoglobus,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_165,Post-Refractive Surgery Ectasia,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,post-refractive surgery ectasia,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
disease_166,Postsurgical Corneal Edema (Also Known As Aphakic Or Pseudophakic Bullous Keratopathy),Entity,,[4],Disease entity extracted from differential diagnosis lists,1,postsurgical corneal edema (also known as aphakic or pseudophakic bullous keratopathy),False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_167,Congenital Hereditary Endothelial Dystrophy,Entity,,"[4, 8]",Disease entity extracted from differential diagnosis lists,2,congenital hereditary endothelial dystrophy,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_168,Posterior Polymorphous Corneal Dystrophy,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,posterior polymorphous corneal dystrophy,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_169,Iridocorneal Endothelial Syndrome,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,iridocorneal endothelial syndrome,False,"[""Differential Diagnosis""]",urgent,,,urgent,Extracted from Wills Eye Manual based on urgent criteria
disease_170,Suture Abscess Or Corneal Infection,Entity,,[4],Disease entity extracted from differential diagnosis lists,1,suture abscess or corneal infection,False,"[""Differential Diagnosis""]",non_urgent,,,non_urgent,Extracted from Wills Eye Manual based on non_urgent criteria
